"Date","Event_Date","Action_Name","ID","Action_Type","Status","Corrected","Sale_Amount","Order_Discount","Commission","Website_ID","Website_Name","Ad_ID","Advertiser_ID","Advertiser_Name","SID","Order_ID","Click_Date","Action_ID","Ad_Owner_Advertiser_ID"
"1-Nov-2008 12:06 PDT","1-Nov-2008 10:43 PDT","Lead","833302165","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526941","656240","WorldWinner.com Online Games for Cash Prizes","11726915","29353402","1-Nov-2008 10:42 PDT","3412","656240"
"1-Nov-2008 14:03 PDT","1-Nov-2008 12:28 PDT","Lead","833332727","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11732822","29355328","1-Nov-2008 12:24 PDT","3412","656240"
"1-Nov-2008 17:03 PDT","1-Nov-2008 15:16 PDT","Lead","833375123","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526483","656240","WorldWinner.com Online Games for Cash Prizes","11743082","29358716","1-Nov-2008 15:15 PDT","3412","656240"
"1-Nov-2008 22:31 PDT","1-Nov-2008 20:10 PDT","Lead","833450623","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11762464","29364687","1-Nov-2008 20:08 PDT","3412","656240"
"2-Nov-2008 00:02 PDT","1-Nov-2008 22:36 PDT","Lead","833476853","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11770292","29366744","1-Nov-2008 22:35 PDT","3412","656240"
"2-Nov-2008 03:02 PST","2-Nov-2008 01:54 PST","Lead","833494814","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","","29368333","2-Nov-2008 01:53 PST","3412","656240"
"2-Nov-2008 08:03 PST","2-Nov-2008 06:35 PST","Lead","833530938","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526483","656240","WorldWinner.com Online Games for Cash Prizes","11788973","29370283","2-Nov-2008 06:34 PST","3412","656240"
"2-Nov-2008 12:05 PST","2-Nov-2008 10:45 PST","Lead","833599601","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","","29374215","2-Nov-2008 10:44 PST","3412","656240"
"2-Nov-2008 12:05 PST","2-Nov-2008 10:46 PST","Lead","833600785","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526941","656240","WorldWinner.com Online Games for Cash Prizes","11805154","29374226","2-Nov-2008 10:41 PST","3412","656240"
"2-Nov-2008 16:05 PST","2-Nov-2008 14:50 PST","Lead","833678847","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11826779","29379098","2-Nov-2008 14:48 PST","3412","656240"
"2-Nov-2008 17:00 PST","2-Nov-2008 15:00 PST","Lead","833681075","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11758222","29379304","1-Nov-2008 19:02 PDT","3412","656240"
"2-Nov-2008 21:01 PST","2-Nov-2008 19:11 PST","Lead","833759823","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11851667","29384529","2-Nov-2008 19:10 PST","3412","656240"
"3-Nov-2008 00:01 PST","2-Nov-2008 22:49 PST","Lead","833794244","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526500","656240","WorldWinner.com Online Games for Cash Prizes","11863922","29387150","2-Nov-2008 22:48 PST","3412","656240"
"3-Nov-2008 12:05 PST","3-Nov-2008 10:22 PST","Lead","833922291","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526941","656240","WorldWinner.com Online Games for Cash Prizes","11889844","29393154","3-Nov-2008 10:21 PST","3412","656240"
"3-Nov-2008 16:33 PST","3-Nov-2008 14:41 PST","Lead","834014131","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11904537","29397786","3-Nov-2008 14:40 PST","3412","656240"
"4-Nov-2008 05:04 PST","4-Nov-2008 03:44 PST","Lead","834175806","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11942168","29408543","4-Nov-2008 03:39 PST","3412","656240"
"4-Nov-2008 12:06 PST","4-Nov-2008 10:49 PST","Lead","834285774","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10527212","656240","WorldWinner.com Online Games for Cash Prizes","11964177","29414249","4-Nov-2008 10:45 PST","3412","656240"
"4-Nov-2008 15:34 PST","4-Nov-2008 13:19 PST","Lead","834339921","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526483","656240","WorldWinner.com Online Games for Cash Prizes","11972578","29417253","4-Nov-2008 13:18 PST","3412","656240"
"4-Nov-2008 17:00 PST","4-Nov-2008 15:04 PST","Lead","834370450","sim_lead","new","No","0.00","0.00","1.50","2539644","BW Online Inc","10526941","656240","WorldWinner.com Online Games for Cash Prizes","11979251","29419368","4-Nov-2008 15:03 PST","3412","656240"
